
Counter = 1000  Size = 10000
Counter = 2000  Size = 20000
Counter = 3000  Size = 30000
Counter = 4000  Size = 40000
Counter = 5000  Size = 50000
Counter = 6000  Size = 60000
Counter = 7000  Size = 70000
Counter = 8000  Size = 80000
Counter = 9000  Size = 90000
Counter = 10000  Size = 100000
Counter = 11000  Size = 110000
Counter = 12000  Size = 120000
Counter = 13000  Size = 130000
Counter = 14000  Size = 140000
Counter = 15000  Size = 150000
Counter = 16000  Size = 160000
Counter = 17000  Size = 170000
Counter = 18000  Size = 180000
Counter = 19000  Size = 190000
Counter = 20000  Size = 200000
Counter = 21000  Size = 210000
Counter = 22000  Size = 220000
Counter = 23000  Size = 230000
Counter = 24000  Size = 240000
Counter = 25000  Size = 250000
Counter = 26000  Size = 260000
Counter = 27000  Size = 270000
Counter = 28000  Size = 280000
Counter = 29000  Size = 290000
Counter = 30000  Size = 300000
Counter = 31000  Size = 310000
Counter = 32000  Size = 320000
Counter = 33000  Size = 330000
Counter = 34000  Size = 340000
Counter = 35000  Size = 350000
Counter = 36000  Size = 360000
Counter = 37000  Size = 370000
Counter = 38000  Size = 380000
Counter = 39000  Size = 390000
Counter = 40000  Size = 400000
Counter = 41000  Size = 410000
Counter = 42000  Size = 420000
Counter = 43000  Size = 430000
Counter = 44000  Size = 440000
Counter = 45000  Size = 450000
Counter = 46000  Size = 460000
Counter = 47000  Size = 470000
Counter = 48000  Size = 480000
Counter = 49000  Size = 490000
Counter = 50000  Size = 500000
Counter = 51000  Size = 510000
Counter = 52000  Size = 520000
Counter = 53000  Size = 530000
Counter = 54000  Size = 540000
Counter = 55000  Size = 550000
Counter = 56000  Size = 560000
Counter = 57000  Size = 570000
Counter = 58000  Size = 580000
Counter = 59000  Size = 590000
Counter = 60000  Size = 600000
Counter = 61000  Size = 610000
Counter = 62000  Size = 620000
Counter = 63000  Size = 630000
Counter = 64000  Size = 640000
Counter = 65000  Size = 650000
Counter = 66000  Size = 660000
Counter = 67000  Size = 670000
Counter = 68000  Size = 680000
Counter = 69000  Size = 690000
Counter = 70000  Size = 700000
Counter = 71000  Size = 710000
Counter = 72000  Size = 720000
Counter = 73000  Size = 730000
Counter = 74000  Size = 740000
Counter = 75000  Size = 750000
Counter = 76000  Size = 760000
Counter = 77000  Size = 770000
Counter = 78000  Size = 780000
Counter = 79000  Size = 790000
Counter = 80000  Size = 800000
Counter = 81000  Size = 810000
Counter = 82000  Size = 820000
Counter = 83000  Size = 830000
