
Counter = 100000  Size = 1000000
Counter = 200000  Size = 2000000
Counter = 300000  Size = 3000000
Counter = 400000  Size = 4000000
Counter = 500000  Size = 5000000
Counter = 600000  Size = 6000000
Counter = 700000  Size = 7000000
Counter = 800000  Size = 8000000
Counter = 900000  Size = 9000000
Counter = 1000000  Size = 10000000
Counter = 1100000  Size = 11000000
Counter = 1200000  Size = 12000000
Counter = 1300000  Size = 13000000
Counter = 1400000  Size = 14000000
Counter = 1500000  Size = 15000000
Counter = 1600000  Size = 16000000
Counter = 1700000  Size = 17000000
Counter = 1800000  Size = 18000000
Counter = 1900000  Size = 19000000
Counter = 2000000  Size = 20000000
Counter = 2100000  Size = 21000000
Counter = 2200000  Size = 22000000
Counter = 2300000  Size = 23000000
Counter = 2400000  Size = 24000000
Counter = 2500000  Size = 25000000
Counter = 2600000  Size = 26000000
Counter = 2700000  Size = 27000000
Counter = 2800000  Size = 28000000
Counter = 2900000  Size = 29000000
Counter = 3000000  Size = 30000000
Counter = 3100000  Size = 31000000
Counter = 3200000  Size = 32000000
Counter = 3300000  Size = 33000000
Counter = 3400000  Size = 34000000
Counter = 3500000  Size = 35000000
Counter = 3600000  Size = 36000000
Counter = 3700000  Size = 37000000
Counter = 3800000  Size = 38000000
Counter = 3900000  Size = 39000000
Counter = 4000000  Size = 40000000
Counter = 4100000  Size = 41000000
Counter = 4200000  Size = 42000000
Counter = 4300000  Size = 43000000
Counter = 4400000  Size = 44000000
Counter = 4500000  Size = 45000000
